"Item Number","Title","Title Notes","Author","Year","Exhibitor/Organizer/Publisher/Series","Pagination","Dimensions","LCCN","ISBN","Language","Binding","List Price","Library Disc.","Disc. Price","List Date","Country of Publication","List Number","Bulletin Number","Status","Plans","Region","Country","Period","Medium","Topic","Style","Collection","Artist","Comment","Brief title (for alphabetic sorting)","Author (alphabetic)","Key Language"
"179336","GERMANY AND THE OTTOMAN RAILWAYS: ART, EMPIRE AND INFRASTRUCTURE.","","Peter H. Christensen.","2017.","Yale University Press, New Haven.  ","216 pp.","27 x 22 cm.","","ISBN 9780300225648","In English.","Hardcover","$65.00","10% disc.","$58.50","September 2017","000","","","In Stock","71","","","","","","","","","Publisher's description: With lines extending from Bosnia to Baghdad to Medina, the Ottoman Railway Network (1868-1919) was the pride of the empire and its ultimate emblem of modernization -- yet it was largely designed and bankrolled by German corporations. This exemplifies a uniquely ambiguous colonial condition in which the interests of Germany and the Ottoman Empire were in constant flux. German capitalists and cultural figures sought influence in the Near East, including access to archaeological sites such as Tell Halaf and Mshatta. At the same time, Ottoman leaders and laborers urgently pursued imperial consolidation. Germany and the Ottoman Railways explores the impact of these political agendas as well as the railways' impact on the built environment. Relying on a trove of previously unpublished archival materials, including maps, plans, watercolors, and photographs, author Peter H. Christensen also reveals the significance of this major infrastructure project for the budding disciplines of geography, topography, art history, and archaeology.","GERMANY AND THE OTTOMAN RAILWAYS ART EMPIRE AND INFRASTRUCTURE","Christensen, Peter H.",""
"179866","1001 PHOTOGRAPHS YOU MUST SEE IN YOUR LIFETIME.","","Paul Lowe.","2017.","Universe Publishing, Rizzoli International Publications, Inc., New York.  ","960 pp.","21 x 16 cm.","","ISBN 9780789327680","In English.","Hardcover","$36.95","20% disc.","$29.56","September 2017","000","","","In Stock","70","","","","","","","","","Publisher's description: A new generation, enabled by selfie sticks and social media, is being drawn to photography, and this is the perfect book to inspire and illuminate their appreciation of the full and rich history of this seminal art form and its many genres and techniques. Award-winning photographer, critic, and educator Paul Lowe presents a carefully curated selection of the greatest still images -- visually arresting, aesthetically complex, and historically significant -- from the medium's earliest days to the present. Included are photographs from all over the globe, taken by both female and male photographers: famous iconic images, key signature works by notable photographers, and less familiar images that are nevertheless essential viewing. From 1850 to the present, from daguerreotype to digital, this book embraces all genres -- documentary, portrait, photojournalistic, and more -- as it traces the development of photography to the present day. It is organized chronologically with text that accompanies each photograph providing historical context and technical details. Each work is indexed by artist and by title, making it easy to find specific works and the oeuvres of particular photographers throughout the volume.","1001 PHOTOGRAPHS YOU MUST SEE IN YOUR LIFETIME","Lowe, Paul",""
"179867","CITY LIVING: APARTMENTS, LOFTS, STUDIOS AND TOWNHOUSES.","","Francesc Zamora Mola.","2017.","Booq Publishing, Barcelona. Published in the U.S.A. by Universe Publishing, Rizzoli International Publications, Inc., New York. ","420 pp. with 606 ills. (428 col.).","22 x 20 cm.","LC 2017-933348","ISBN 9780789332707","In English.","Paperbound","$35.00","20% disc.","$28.00","September 2017","000","436","","In Stock","70,30,55","Western, International (Western Style)","","Post-1945, Post-2000","Architecture, Interior Design","","","","","Publisher's description: In an extensive but accessible format, City Living presents small-scale contemporary urban residences that prove domesticity can be compact and beautiful as well as green and urban. Urban areas across the globe are experiencing a renaissance, with once-neglected areas becoming increasingly popular for rediscovery and redevelopment. City Living looks at the movement toward ecologically minded compact houses through the lens of urban life. This lavishly illustrated volume includes 600 full-color photographs and diagrams featuring an international collection of fifty-five homes that exemplify compact living at its best. The residential projects selected for this volume illustrate strategies for building tiny in urban areas that include urban infill, adaptive reuse, transforming and flexible living spaces, and micro-unit buildings. The selection is truly global, including designs from the U.S., Canada, Britain, France, Germany, Italy, Spain, Portugal, Sweden, Australia, New Zealand, Brazil, Mexico, Japan, and more. Though many of the residences here are unique in design, their economical size and ingenious interior spaces are the epitome of practicality and illustrate an acute understanding of compact living and its potential for the urban realm.","CITY LIVING APARTMENTS LOFTS STUDIOS AND TOWNHOUSES","Mola, Francesc Zamora","English"
"180355","THE DEAD CITY: URBAN RUINS AND THE SPECTACLE OF DECAY.","","Paul Dobraszczyk.","2017.","I.B. Tauris & Co. Ltd, London.  ","300 pp. with 60 ills.","22 x 14 cm.","","ISBN 9781784537166","In English.","Hardcover","$99.00","10% disc.","$89.10","September 2017","000","436","","In Stock","73","Western, International (Western Style)","","Several Periods","Architecture","","","","","Publisher's description: Cities are imagined not just as utopias, but also as ruins. In literature, film, art and popular culture, urban landscapes have been submerged by floods, razed by alien invaders, abandoned by fearful inhabitants and consumed in fire. The Dead City unearths meanings from such depictions of ruination and decay, looking at representations of both thriving cities and ones which are struggling, abandoned or simply in transition. It reveals that ruination presents a complex opportunity to envision new futures for a city, whether that is by rewriting its past or throwing off old assumptions and proposing radical change. Seen in a certain light, for example, urban ruin and decay are a challenge to capitalist narratives of unbounded progress. They can equally imply that power structures thought to be deeply ingrained are temporary, contingent and even fragile. Examining ruins in Chernobyl, Detroit, London, Manchester and Varosha, this book demonstrates that how we discuss and depict urban decline is intimately connected to the histories, economic forces, power structures and communities of a given city, as well as to conflicting visions for its future.","DEAD CITY URBAN RUINS AND THE SPECTACLE OF DECAY","Dobraszczyk, Paul","English"
"180539","IN THE EIGHTIES: PORTRAITS FROM ANOTHER TIME -- DEREK RIDGERS.","","","2017.","Carpet Bombing Culture, Pro-actif Communications, Darlington.  ","160 pp. with 143 ills. (32 col.).","33 x 24 cm.","","ISBN 9781908211569","In English.","Hardcover","$39.95","10% disc.","$35.95","September 2017","000","436","","In Stock","73,55","Western, Europe","Great Britain","Post-1945, Post-1970","Photography","","","","Ridgers, Derek","Publisher's description: 'It was the best of times it was the worst of times.' Maligned, misunderstood and fetishized the 1980's stands as the decade when post-modern life began in the west, and London was at the epicenter of this shift. An explosion of creativity took place against a backdrop of radical social change. London became a city of tribes. The vast youth culture categories of the preceding decades shattered into shards. It was the decade that sub-culture as a way of life reached it's zenith before giving way to it's inevitable scene surfing conclusion. Ridgers documented this cultural moment obsessively. Punks, post-punks, cyber-punks, gothic punks, mods, hard mods, Trojan skins, racist skins, ska, reggae, dub, early electronica, synth pop, acid house, happy hardcore, Blitz Kids, New Romantics, Hip-Hop, Rap, Electro, Break Beat, Techno, Rave - these were all sub-cultural spaces with scenes attached in London in the 1980's. Unlike now, subcultures in the 1980's were not casual playthings - they were a way of life for their participants. They inspired profound loyalty. They were a beautiful a doomed flowering of the hope for a better world. Derek Ridger's exquisite street portrait photography has captured this creative decade beautifully.","IN THE EIGHTIES PORTRAITS FROM ANOTHER TIME DEREK RIDGERS","","English"
"180775","AFGHANISTAN: STEVE MCCURRY.","","","2017.","Benedikt Taschen Verlag GmbH, Cologne.  ","256 pp. with 141 ills. (125 col.) and 119 reference ills. (104 col.).","38 x 27 cm.","","ISBN 9783836569361","Trilingual in English, German and French.","Hardcover","$69.99","","$69.99","September 2017","000","436","","In Stock","73,54","Western","United States","Post-1945, Post-1970","Photography","","","","McCurry, Steve","Large format. Publisher's description: Afghanistan has long been a country overwhelmed by tribal rivalries, colonial wars, and geo-political conflict. The Afghans have called their mountains ""the land of rebellion,"" a land that has not been successfully occupied since the times of Alexander the Great. These invaders -- Persians, Arabs, Moguls, Sikhs, British, Russians -- may have been thwarted, but wandering through the bazaars of Kabul will attest to their legacy. In the people of Afghanistan, the genes of countless races meet and intermingle. Deep are the fissures in Afghan society; the schism between Sunni and Shia, the endemic violence across clans and tribes, and the blood feuds and rivalries within lineages. Yet born of such chaos and entrenched conflict are these most breathtaking of images. In this definitive retrospective of his work in Afghanistan, Steve McCurry has curated over 140 gripping images to present a torn, proud people, from the desert of Kandahar to the streets of Kabul and remote rivers of Nuristan. For almost four decades, McCurry traveled to the country regularly, documenting its people with a rare and disarming humanity.","AFGHANISTAN STEVE MCCURRY","","English, French, German"
"181007","JAPANESE STONE GARDENS: ORIGINS, MEANING & FORM.","Reprint.","Stephen Mansfield.","2017.","Tuttle Publishing, North Clarendon. First published 2009 {Worldwide 181007}. ","160 pp. with 167 col. ills.","21 x 21 cm.","LC 2011-279075","ISBN 9784805314272","In English.","Hardcover","$19.95","10% disc.","$17.95","September 2017","000","436","","In Stock","73","Non-Western (Traditional/Native Arts), Asia (Traditional)","Japan","","Landscape and Garden Design","","","","","Publisher's description: Gain some new ideas along with the principles and history of Japanese stone gardening with this useful and beautiful garden design book. Japanese Stone Gardens provides a comprehensive introduction to the powerful mystique and dynamism of the Japanese stone garden -- from their earliest use as props in animistic rituals, to their appropriation by Zen monks and priests to create settings conducive to contemplation and finally to their contemporary uses and meaning. With insightful text and abundant imagery, this book reveals the hidden order of stone gardens and in the process heightens the enthusiast's appreciation of them. The Japanese stone garden is an art form recognized around the globe. These meditative gardens provide tranquil settings, where visitors can shed the burdens and stresses of modern existence, satisfy an age-old yearning for solitude and repose, and experience the restorative power of art and nature. For this reason, the value of the Japanese stone garden today is arguably even greater than when many of them were created. Fifteen gardens are featured in this book: some well known, such as the famous temple gardens of Kyoto, others less so, among them gardens spread through the south of Honshu Island and the southern islands of Shikoku and Kyushu and in faraway Okinawa.","JAPANESE STONE GARDENS ORIGINS MEANING & FORM","Mansfield, Stephen","English"
"181289","FASHION TREND FORECASTING.","","Gwyneth Holland and Rae Jones.","2017.","Laurence King Publishing Ltd, London.  Distributed in the U.S.A. by Chronicle Books, San Francisco.","160 pp. with 155 ills. (147 col.).","25 x 18 cm.","","ISBN 9781786270580","In English.","Paperbound","$29.99","20% disc.","$23.99","September 2017","000","436","","In Stock","70,30","Western, International (Western Style)","","Post-1945, Post-2000","Costume/Fashion","","","","","Publisher's description: An understanding of trends is a fundamental skill for anyone working in the fashion industry. In this book Gwyneth Holland and Rae Jones look at how to produce a well-researched trend, from initial inspiration to concrete idea and, eventually, real product. Illustrated throughout with insights from practicing trend forecasters and industry insiders, it is an invaluable guide for fashion students and practitioners alike.","FASHION TREND FORECASTING","Holland, Gwyneth","English"
"181559","UPSCALE DOWNSIZING: CREATING A STYLISH, ELEGANT, SMALLER HOME.","","Leslie Linsley.","2017.","Sterling Publishing Co., Inc., New York.  ","224 pp.","25 x 20 cm.","","ISBN 9781454921974","In English.","Hardcover","$24.95","10% disc.","$22.45","September 2017","000","","","In Stock","73","","","","","","","","","Publisher's description: Less CAN be more! Whether because of a change in circumstances, an empty nest, or simply an itch to start from scratch again, people are downsizing their space while remaining upscale in taste. Decorating with style is crucial when every square inch counts, and fortunately downsizing elegantly is an art you can learn. Using examples that range from 600-square-foot apartments to a small cottage-style house, home-style guru Leslie Linsley shows you how to achieve maximum aesthetic results even in a minimal space. She offers solutions to every problem -- storage tricks, entertaining in small spaces, flexible layouts, ideas for arranging art and collectibles, living with what you absolutely can't live without, and more -- all lavishly illustrated with over 200 full-color photographs. In addition, inspirational real-life stories from downsizers reveal how others have successfully handled the challenges -- so you can do the same.","UPSCALE DOWNSIZING CREATING A STYLISH ELEGANT SMALLER HOME","Linsley, Leslie",""
"181703","SOVIET BUS STOPS: VOLUME II -- CHRISTOPHER HERWIG.","","","2017.","Fuel Publishing, London.  Distributed in the U.S.A. by Artbook|D.A.P., New York.","192 pp. with 165 col. ills.","17 x 21 cm.","","ISBN 9780993191183","In English; title page also in Russian.","Hardcover","$32.50","10% disc.","$29.25","September 2017","000","436","","In Stock","73,55","Western","Canada","Post-1945, Post-2000","Architecture, Photography","","","","Herwig, Christopher","Publisher's description: On the heels of his bestselling Soviet Bus Stops, photographer Christopher Herwig locates fresh wonders of the Soviet vernacular in Georgia, Ukraine and Russia itself. After the popular and critical success of his first book, Soviet Bus Stops, photographer Christopher Herwig has returned to the former Soviet Union to hunt for more. In this second volume, as well as discovering new stops in the remotest areas of Georgia and Ukraine, Herwig turns his camera to Russia itself. Following exhaustive research, he drove more than 9,000 miles from coast to coast across the largest country in the world, in pursuit of new examples of this singular architectural form. A foreword by renowned architecture and culture critic Owen Hatherley reveals new information on the origins of the Soviet bus stop. Examining the government policy that allowed these small architectural forms to flourish, he explains how they reflected Soviet values, and how ultimately they remained -- despite their incredible individuality -- far-flung outposts of Soviet ideology.","SOVIET BUS STOPS VOLUME II CHRISTOPHER HERWIG","","English"
"815299","ALEJANDRO JODOROWSKY & PASCALE MONTANDON-JODOROWSKY: PASCALEJANDRO.","","Alejandro Jodorowsky.","2017.","Galerie Azzedine Alaia, Paris. Published in association with Actes Sud, Arles. Distributed in the U.S.A. by Artbook|D.A.P., New York.","128 pp. with 80 col. ills.","24 x 17 cm.","","ISBN 9782330075408","In English.","Hardcover","$30.00","10% disc.","$27.00","September 2017","000","954","","In Stock","73","","","","","","","","Montandon-Jodorowsky, Pascale","Due date: July 2017. Publisher's description: PascALEjandro is the first monograph devoted to the work of the eponymous artist's collective composed of the director, poet, writer, comic-book writer and playwright Alejandro Jodorowsky (born 1929) and painter, costume and set-designer and photographer Pascale Montandon-Jodorowsky (born 1972). The work primarily catalogues the couple's illustration work, in which Alejandro Jodorowsky provides the lines and Pascale Montandon-Jodorowsky the color. The vibrant universe they create brims with ancestral myths, contemporary tales and metaphysical reflections on life; it is peopled by angels, clowns, mystical lovers and dream beings. In addition to cataloguing their illustrations, the volume includes movie stills from the pair's film work (they provided the color for Jodorowsky's recent The Dance of Reality and Endless Poetry), as well as various essays and interviews with the artists by Klaus Biesenbach and Hans Ulrich Obrist.","ALEJANDRO JODOROWSKY & PASCALE MONTANDON JODOROWSKY PASCALEJANDR","Jodorowsky, Alejandro",""
"815344","MUSEUM OF CAPITALISM.","","Andrea Steves.","2017.","Inventory Press, New York.  Distributed by Artbook|D.A.P., New York.","208 pp. with 90 col. ills.","24 x 19 cm.","","ISBN 9781941753156","In English.","Hardcover","$35.00","10% disc.","$31.50","September 2017","000","","","In Stock","73","","","","","","","","","Due date: September 2017. Publisher's description: The Museum of Capitalism in Oakland, California, treats capitalism as a historical phenomenon. This speculative institution views the present and recent past from the implied perspective of a future society in which our economic and political system is memorialized, and subjected to the museological gaze. Sketches and renderings of exhibits and artifacts, combined with relevant quotations from historical sources, are interspersed with speculative essays on the intersections of ecology, race, museology, historiography, economics and politics. Included are representations of artworks and museum exhibits created by artists Oliver Ressler, Sayler/Morris, Dread Scott, Temporary Services, and others, original Isotype graphics drawn from the museum's lexicon of ""capitalisms,"" and texts from Lucy Lippard, Lester K. Spence, T.J. Demos, Chantal Mouffe, McKenzie Wark and Kim Stanley Robinson, among others.","MUSEUM OF CAPITALISM","Steves, Andrea",""
